complaint_text,category,priority,department,type
My student ID card has a printing error in my name.,Admin,Medium,Admin Office,Non-Technical
The lab computers do not have the latest version of MATLAB.,IT,Medium,IT Department,Technical
The fire extinguisher on the 2nd floor has expired.,Infrastructure,High,Maintenance,Non-Technical
I am unable to log in to the student portal.,IT,High,IT Department,Technical
Need a character certificate for an internship application.,Admin,Low,Admin Office,Non-Technical
The hostel room door lock is broken.,Hostel,High,Hostel Maintenance,Non-Technical
The exam schedule is clashing with a national holiday.,Academics,High,Exam Cell,Non-Technical
The campus is not wheelchair accessible near the main auditorium.,Infrastructure,High,Maintenance,Non-Technical
The online library database is not accessible from outside the campus.,Library,Medium,Library,Technical
The security guard at the hostel gate was impolite.,Admin,Low,Security Office,Non-Technical
The chemistry lab is running out of basic chemicals.,Academics,High,Academics Department,Non-Technical
Request to start a new club for photography.,Academics,Low,Academics Department,Non-Technical
The drinking water from the purifier tastes strange.,Infrastructure,Medium,Maintenance,Non-Technical
My assignment submission is not being reflected on the portal.,Academics,Medium,Academics Department,Technical
The campus Wi-Fi is blocking access to GitHub.,IT,Medium,IT Department,Technical
There is a leakage in the ceiling of my hostel room.,Hostel,High,Hostel Maintenance,Non-Technical
The software on the lab computers is outdated.,IT,Medium,IT Department,Technical
"I have requested a re-evaluation of my exam paper, but there is no update.",Academics,High,Exam Cell,Non-Technical
The campus needs more recycling bins.,Infrastructure,Low,Housekeeping,Non-Technical
The online fee payment is failing with a gateway error.,Admin,High,Accounts Department,Technical
I need information about the upcoming campus placements.,Academics,Medium,Placement Cell,Non-Technical
The elevator in the library building is not working.,Infrastructure,High,Maintenance,Non-Technical
My name is misspelled on my degree certificate.,Academics,High,Exam Cell,Non-Technical
The LAN port in my hostel room is not working.,Hostel,Medium,IT Department,Technical
I need to book the seminar hall for a student event.,Admin,Medium,Admin Office,Non-Technical
The CCTV cameras in the parking area are not functional.,Infrastructure,High,Security Office,Technical
The syllabus for the upcoming exam was not completed in class.,Academics,High,Academics Department,Non-Technical
The college bus is consistently late in the mornings.,Admin,Medium,Transport Department,Non-Technical
The microphone in the main auditorium is producing static noise.,IT,Medium,IT Department,Technical
The library's subscription to a key journal has expired.,Library,High,Library,Technical
I want to report an incident of ragging.,Admin,High,Anti-Ragging Cell,Non-Technical
The college website has outdated contact information.,IT,Low,IT Department,Technical
Request to form a new student chapter of a professional organization.,Academics,Low,Academics Department,Non-Technical
The water from the taps is muddy.,Infrastructure,Medium,Maintenance,Non-Technical
My submitted project is not showing as graded.,Academics,Medium,Academics Department,Technical
The campus Wi-Fi is blocking access to educational websites.,IT,Medium,IT Department,Technical
There is a persistent water logging issue near the main gate.,Infrastructure,High,Maintenance,Non-Technical
The lab computers are infected with a virus.,IT,High,IT Department,Technical
"I have applied for a re-evaluation of my answer sheet, but have not received any response.",Academics,High,Exam Cell,Non-Technical
The water cooler on the 3rd floor is dispensing hot water.,Infrastructure,Medium,Maintenance,Non-Technical
My scholarship application has been pending for over a month.,Admin,High,Admin Office,Non-Technical
The Wi-Fi in the library is extremely slow and disconnects frequently.,IT,High,IT Department,Technical
The classroom projector in Room 205 is not working.,IT,Medium,IT Department,Technical
The toilets in the B-block are not clean and lack soap.,Infrastructure,Medium,Housekeeping,Non-Technical
I need a fee receipt for the last semester.,Admin,Low,Accounts Department,Non-Technical
The new data science textbook is not available in the library.,Academics,Low,Library,Non-Technical
My attendance for the Python course is marked incorrectly.,Academics,High,Exam Cell,Technical
The hostel mess food is of poor quality and lacks variety.,Hostel,Medium,Hostel Warden,Non-Technical
Request for a guest lecture on blockchain technology.,Academics,Low,Academics Department,Non-Technical
The basketball court lights are not working.,Infrastructure,Medium,Maintenance,Non-Technical
My student ID card has a printing error in my name.,Admin,Medium,Admin Office,Non-Technical
The lab computers do not have the latest version of MATLAB.,IT,Medium,IT Department,Technical
The fire extinguisher on the 2nd floor has expired.,Infrastructure,High,Maintenance,Non-Technical
I am unable to log in to the student portal.,IT,High,IT Department,Technical
Need a character certificate for an internship application.,Admin,Low,Admin Office,Non-Technical
The hostel room door lock is broken.,Hostel,High,Hostel Maintenance,Non-Technical
The exam schedule is clashing with a national holiday.,Academics,High,Exam Cell,Non-Technical
The campus is not wheelchair accessible near the main auditorium.,Infrastructure,High,Maintenance,Non-Technical
The online library database is not accessible from outside the campus.,Library,Medium,Library,Technical
The security guard at the hostel gate was impolite.,Admin,Low,Security Office,Non-Technical
The chemistry lab is running out of basic chemicals.,Academics,High,Academics Department,Non-Technical
Request to start a new club for photography.,Academics,Low,Academics Department,Non-Technical
The drinking water from the purifier tastes strange.,Infrastructure,Medium,Maintenance,Non-Technical
My assignment submission is not being reflected on the portal.,Academics,Medium,Academics Department,Technical
The campus Wi-Fi is blocking access to GitHub.,IT,Medium,IT Department,Technical
There is a leakage in the ceiling of my hostel room.,Hostel,High,Hostel Maintenance,Non-Technical
The software on the lab computers is outdated.,IT,Medium,IT Department,Technical
"I have requested a re-evaluation of my exam paper, but there is no update.",Academics,High,Exam Cell,Non-Technical
The campus needs more recycling bins.,Infrastructure,Low,Housekeeping,Non-Technical
The online fee payment is failing with a gateway error.,Admin,High,Accounts Department,Technical
I need information about the upcoming campus placements.,Academics,Medium,Placement Cell,Non-Technical
The elevator in the library building is not working.,Infrastructure,High,Maintenance,Non-Technical
My name is misspelled on my degree certificate.,Academics,High,Exam Cell,Non-Technical
The LAN port in my hostel room is not working.,Hostel,Medium,IT Department,Technical
I need to book the seminar hall for a student event.,Admin,Medium,Admin Office,Non-Technical
The CCTV cameras in the parking area are not functional.,Infrastructure,High,Security Office,Technical
The syllabus for the upcoming exam was not completed in class.,Academics,High,Academics Department,Non-Technical
The college bus is consistently late in the mornings.,Admin,Medium,Transport Department,Non-Technical
The microphone in the main auditorium is producing static noise.,IT,Medium,IT Department,Technical
The library's subscription to a key journal has expired.,Library,High,Library,Technical
I want to report an incident of ragging.,Admin,High,Anti-Ragging Cell,Non-Technical
The college website has outdated contact information.,IT,Low,IT Department,Technical
Request to form a new student chapter of a professional organization.,Academics,Low,Academics Department,Non-Technical
The water from the taps is muddy.,Infrastructure,Medium,Maintenance,Non-Technical
My submitted project is not showing as graded.,Academics,Medium,Academics Department,Technical
The campus Wi-Fi is blocking access to educational websites.,IT,Medium,IT Department,Technical
There is a persistent water logging issue near the main gate.,Infrastructure,High,Maintenance,Non-Technical
The lab computers are infected with a virus.,IT,High,IT Department,Technical
"I have applied for a re-evaluation of my answer sheet, but have not received any response.",Academics,High,Exam Cell,Non-Technical
The water cooler on the 3rd floor is dispensing hot water.,Infrastructure,Medium,Maintenance,Non-Technical
My scholarship application has been pending for over a month.,Admin,High,Admin Office,Non-Technical
Benches are not available in classroom.,Infrastructure,Medium,Maintenance,Non-Technical
fan is not working in the classroom., Infrastructure,Medium,Maintenance,Non-Technical
